id,name,price,stock,description,imagePath,status
1,高品质笔记本,15.50,100,非常适合记笔记的本子,/db_img/products/1.png,ON_SALE
2,多功能中性笔,5.00,200,书写流畅不断墨,/db_img/products/2.png,ON_SALE
3,二手教科书《Java核心技术》,50.00,10,九成新几乎无笔记,/db_img/products/3.png,ON_SALE
4,校园纪念T恤,99.00,50,纯棉材质舒适透气,/db_img/products/4.png,ON_SALE
5,无线鼠标,89.00,30,2.4G无线连接人体工学设计,/db_img/products/5.png,ON_SALE
6,机械键盘,299.00,15,青轴机械键盘RGB背光,/db_img/products/6.png,ON_SALE
7,蓝牙耳机,199.00,25,降噪蓝牙耳机音质清晰,/db_img/products/7.png,ON_SALE
8,充电宝,79.00,40,20000mAh大容量快充,/db_img/products/8.png,ON_SALE
9,保温杯,45.00,60,不锈钢保温杯24小时保温,/db_img/products/9.png,ON_SALE
10,书包,128.00,35,双肩背包防水耐磨,/db_img/products/10.png,ON_SALE
11,笔记本电脑支架,68.00,20,铝合金材质可调节高度,/db_img/products/11.png,ON_SALE
12,USB-C数据线,25.00,80,1米长度支持快充,/db_img/products/12.png,ON_SALE
13,手机壳,35.00,120,透明硅胶防摔保护,/db_img/products/13.png,ON_SALE
14,台灯,158.00,25,LED护眼台灯可调光,/db_img/products/14.png,ON_SALE
15,计算器,45.00,50,科学计算器考试专用,/db_img/products/15.png,ON_SALE